"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
deflection_trust,justice_involvement,,radio,"J18.  <u>Trust in Police for Deflection</u>: Do you trust police in your community to offer people help and services instead of arrest when they are authorized to do so?

(OPTIONAL)
","1, Yes, definitely | 2, Yes, somewhat | 3, No, not really | 4, No, not at all",,,,,,,,,,,,
deflection_aware_header,justice_involvement,,descriptive,"<div class=""green"">AWARENESS OF DEFLECTION",,,,,,,,,,,,,
deflection_aware,justice_involvement,,radio,"J19.  <u>Awareness of Deflection</u>: Are you aware of any programs or services that the police in your community can offer instead of arrest?

(OPTIONAL)
","1, Yes | 0, No",,,,,,,,,,,,
utilization_header,healthcare_utilization,,descriptive,"<div class=""blue"">Healthcare Resource Utilization

Concrete measures of healthcare resource utilization are important for contextualizing differences in findings between intervention and control arms (e.g., helps account for alternative sources of treatment effects & rule out alternative hypotheses).  Quantifying utilization in standardized units (e.g., days, distinct visits) allows utilization to be mapped onto unit costs from billing/Medicaid data for economic evaluations, including determining the extent to which downstream savings offset the cost of the intervention.",,,,,,,,,,,,,
treatment,healthcare_utilization,"LIFETIME TYPES OF SUD TREATMENT",checkbox,"U1.  In your lifetime, have you ever received any of the following treatments or other services for opioid, stimulant, alcohol or other drug use disorder?  (Select all that apply.)

(OPTIONAL)","0, No prior treatment or service for substance use disorder. | 1, Medication to assist with detox or treatment (specify below) | 2, Inpatient Detoxification | 3, Outpatient or Ambulatory Detoxification | 4, Residential or Inpatient treatment (beyond detox) | 5, Intensive Outpatient Treatment | 6, Outpatient Treatment (specify below) | 7, Contingency management, motivational incentives, or rewards for achieving treatment goals | 8, Smartphone or other digital therapeutics | 9, Recovery home, sober living, or sanctuary housing | 10, Assistance from a peer recovery worker or case manager | 11, 12 step, peer support, or other mutual aid help | 12, Other (specify) {treatment_other}",,,,,,,,,,,," @NONEOFTHEABOVE='0'"
treatment_meds,healthcare_utilization,,checkbox,"U1a.  Specify medication(s) taken to assist with detox or treatment.

(OPTIONAL)","1, Buprenorphine (e.g., Suboxone, Subutex, BRIXADI, Sublocade) | 2, Naltrexone (e.g., Vivitrol) | 3, Methadone | 4, Other (specify)  {treatment_meds_other}",,,,,,[treatment(1)]='1',,,,,,
treatment_meds_other,healthcare_utilization,,text,"U1aother.  Specify other medication(s) taken to assist with detox or treatment.

(OPTIONAL)",,,,,,,[treatment_meds(4)]='1',,,,,,
treatment_outpt,healthcare_utilization,,checkbox,"U1b.  Specify type(s) of outpatient treatment.

(OPTIONAL)","1, Individual or one-on-one counseling | 2, Group counseling | 3, Family counseling | 4, Telehealth or phone based care | 5, Other",,,,,,[treatment(6)]='1',,,,,,
treatment_other,healthcare_utilization,,text,"U1other.  Specify other treatment(s) or service(s) provided for opioid, stimulant, alcohol or other drug use disorder.

(OPTIONAL)",,,,,,,[treatment(12)]='1',,,,,,
hospital,healthcare_utilization,"Core Utilization:  Non-study medical and other services (NMOS)",radio,"U2.  During the past 90 days (OR during the 90 days prior to the start of your current detention), have you been to a hospital or an emergency room for any reason?","1, Yes | 0, No",,,,,,,,,,,,
hospital_header,healthcare_utilization,,descriptive,"<div class=""green"">During the past 90 days (OR during the 90 days prior to the start of your current detention), how many...",,,,,,,,,,,,,
er_times,healthcare_utilization,,text,"U2a.  ...<i>times</i> have you had to go to an emergency room without being admitted to the hospital?",,"Number of times",integer,,,,[hospital]='1',y,,,,,
detox_nights,healthcare_utilization,,text,"U2b.  ...<i>nights</i> were you in a hospital detoxification program for your alcohol and other drug use?  (If more than one detox, across all episodes.)",,"Number of nights (out of 90)",integer,0,90,,[hospital]='1',y,,,,,
hospital_nights,healthcare_utilization,,text,"U2c.  ...<i>nights</i> were you in a hospital for any reason other than detoxification? ",,"Number of nights (out of 90)",integer,0,90,,[hospital]='1',y,,,,,
treatment_facility,healthcare_utilization,,radio,"U3.  During the past 90 days (OR during the 90 days prior to the start of your current detention), other than a hospital, have you stayed overnight in a treatment facility? 

(Probe: such as a residential treatment program for alcohol, drug use, or mental health; or a rehabilitation facility for your physical health) ","1, Yes | 0, No",,,,,,,,,,,,
tx_header,healthcare_utilization,,descriptive,"<div class=""green"">During the past 90 days (OR during the 90 days prior to the start of your current detention), how many...",,,,,,,,,,,,,
tx_alcohol_nights,healthcare_utilization,,text,"U3a.  ...<i>nights</i> were you in a residential treatment program for alcohol or drug use?",,"Number of nights (out of 90)",integer,0,90,,[treatment_facility]='1',y,,,,,
tx_recovery_nights,healthcare_utilization,,text,"U3b.  ...<i>nights</i> were you in a recovery housing program (also called sober living)?",,"Number of nights (out of 90)",integer,0,90,,[treatment_facility]='1',y,,,,,
tx_mental_nights,healthcare_utilization,,text,"U3c.  ...<i>nights</i> were you in a residential treatment program for mental health?",,"Number of nights (out of 90)",integer,0,90,,[treatment_facility]='1',y,,,,,
tx_physical_nights,healthcare_utilization,,text,"U3d.  ...<i>nights</i> were you in a residential, nursing home or other rehabilitation facility for your physical health?",,"Number of nights (out of 90)",integer,0,90,,[treatment_facility]='1',y,,,,,
outpatient,healthcare_utilization,,radio,"U4.  During the past 90 days (OR during the 90 days prior to the start of your current detention), have you received any form of outpatient treatment? 

(Probe: including for alcohol or drug use, or physical or mental health) ","1, Yes | 0, No",,,,,,,,,,,,
primary_times,healthcare_utilization,,text,"U4a.  During the past 90 days (OR during the 90 days prior to the start of your current detention), how many <i>times</i> have you visited a primary care provider (physician, nurse, nurse practitioner, or physician's assistant)?",,"Number of times",integer,,,,[outpatient]='1',y,,,,,
outpatient_header2,healthcare_utilization,,descriptive,"<div class=""green"">Other than times you already mentioned above, how many...",,,,,,,,,,,,,
outpatient_days,healthcare_utilization,,text,"U4b.  ...<em>days</em> did you participate in any other outpatient treatment program specializing in alcohol or substance use?",,"Number of days (out of 90)",integer,0,90,,[outpatient]='1',y,,,,,
psych_times,healthcare_utilization,,text,"U4c.  ...<i>times</i> have you seen a psychiatrist (MD) or psychologist (Ph.D., PsyD.)?",,"Number of times",integer,,,,,,,,,,
counselor_times,healthcare_utilization,,text,"U4d.  ...<i>times</i> have you seen any other kind of counselor or social worker? ",,"Number of times",integer,,,,,,,,,,
peernav_times,healthcare_utilization,,text,"U4e.  ...<i>times</i> have you seen a peer navigator or peer recovery navigator?",,"Number of times",integer,,,,,,,,,,
step_times,healthcare_utilization,,text,"U4f.  ...<i>times</i> have you attended a 12 step or other peer support or mutual aid meeting?",,"Number of times",integer,,,,,,,,,,
rewards_times,healthcare_utilization,,text,"U4g.  ...<i>times</i> have you received contingency management, motivational incentives, or rewards for achieving treatment goals?",,"Number of times",integer,,,,,,,,,,
rewards_value,healthcare_utilization,,text,"U4g1.  Please estimate the total value of the incentives or rewards earned.",,Dollars,number,,,,[rewards_times]>0,,,,,,
phone_times,healthcare_utilization,,text,"U4h.  ...<i>times</i> have you used a smartphone or other digital therapeutic?",,"Number of times",integer,,,,,,,,,,
digital_ther_specify,healthcare_utilization,,text,"U4h1.  Please specify which digital therapeutic you used (e.g., DynamiCare, A-CHESS, Vorvida).",,,,,,,[phone_times]>'0',,,,,,
detox_meds_yn,healthcare_utilization,,radio,"U5.  During the past 90 days (OR during the 90 days prior to the start of your current detention, have you received any medication to assist with detox or treatment?","1, Yes | 0, No",,,,,,,,,,,,
detox_meds_primary,healthcare_utilization,,radio,"U5a.  Please specify your primary medication.  (Select one.)","1, Buprenorphine (e.g., Suboxone, Subutex, BRIXADI, Sublocade) | 2, Naltrexone (e.g., Vivitrol) | 3, Methadone | 4, GLP-1 | 5, Other (specify)  {detox_meds_primary_other}",,,,,,[detox_meds_yn]='1',,,,,,
detox_meds_primary_other,healthcare_utilization,,text,"U5aother.  Specify other primary medication(s).",,,,,,,[detox_meds_primary]='5',,,,,,
detox_meds_add,healthcare_utilization,,checkbox,"U5b.  Please specify any additional medication.  (Select all that apply.)","1, Buprenorphine (e.g., Suboxone, Subutex, BRIXADI, Sublocade) | 2, Naltrexone (e.g., Vivitrol) | 3, Methadone | 4, GLP-1 | 5, Other (specify)  {detox_meds_additional_other} | 6, None",,,,,,[detox_meds_yn]='1',,,,,," @NONEOFTHEABOVE='6'"
detox_meds_add_other,healthcare_utilization,,text,"U5bother.  Specify other additional medication(s).",,,,,,,[detox_meds_add(5)]='1',,,,,,
tx_meds_days,healthcare_utilization,,text,"U5c.  How many days did you take your primary medication for SUD treatment?

(For ""injectable medication,"" enter number of days corresponding to intended duration (e.g., 2 week injection=14 days).)",,"Number of days",integer,,,,[detox_meds_yn]='1',,,,,,
tx_additional_meds_days,healthcare_utilization,,text,"U5d.  How many days did you take your additional medication for SUD treatment?

(For ""injectable medication,"" enter number of days corresponding to intended duration (e.g., 2 week injection=14 days).)",,"Number of days",integer,,,,"[detox_meds_yn]='1' and [detox_meds_add(6)]<>'1'",,,,,,
mhealth_nointerest,resources_and_risk,"MENTAL HEALTH

R1. Over the past 2 weeks, how often have you been bothered by any of the following problems?",radio,"R1a.  Little interest or pleasure in doing things","0, Not at all | 1, Several Days | 2, More than half the days | 3, Nearly Every Day",,,,,,,,,,mental_health,,
mhealth_depressed,resources_and_risk,,radio,"R1b.  Feeling down, depressed or hopeless","0, Not at all | 1, Several Days | 2, More than half the days | 3, Nearly Every Day",,,,,,,,,,mental_health,,
mhealth_nervous,resources_and_risk,,radio,"R1c.  Feeling nervous, anxious or on edge","0, Not at all | 1, Several Days | 2, More than half the days | 3, Nearly Every Day",,,,,,,,,,mental_health,,
mhealth_worry,resources_and_risk,,radio,"R1d.  Not being able to stop or control worrying","0, Not at all | 1, Several Days | 2, More than half the days | 3, Nearly Every Day",,,,,,,,,,mental_health,,
probs_header,resources_and_risk,,descriptive,"<div class=""blue"">The following questions are about common psychological, behavioral and personal problems.  These are considered significant when you have them for two or more weeks, when they keep coming back, when they keep you from meeting your responsibilities, or when they make you feel like you can't go on.",,,,,,,,,,,,,
probs_trapped,resources_and_risk,"(OPTIONAL)

R2.  When was the last time that you had significant problems with...",radio,"R2a.  ...feeling trapped, lonely, sad, blue, depressed, or hopeless about the future?","4, The past month | 3, 2 to 3 months ago | 2, 4 to12 months ago | 1, One or more years ago | 0, Never",,,,,,,,,,problems,,
probs_sleep,resources_and_risk,,radio,"R2b.  ...sleep trouble, such as bad dreams, sleeping restlessly, or falling asleep during the day?","4, The past month | 3, 2 to 3 months ago | 2, 4 to12 months ago | 1, One or more years ago | 0, Never",,,,,,,,,,problems,,
probs_anxious,resources_and_risk,,radio,"R2c.  ...feeling very anxious, nervous, tense, scared, panicked or like something bad was going to happen?","4, The past month | 3, 2 to 3 months ago | 2, 4 to12 months ago | 1, One or more years ago | 0, Never",,,,,,,,,,problems,,
probs_past,resources_and_risk,,radio,"R2d.  ...becoming very distressed and upset when something reminded you of the past?","4, The past month | 3, 2 to 3 months ago | 2, 4 to12 months ago | 1, One or more years ago | 0, Never",,,,,,,,,,problems,,
probs_suicide,resources_and_risk,,radio,"R2e.  ...thinking about ending your life or dying by suicide?","4, The past month | 3, 2 to 3 months ago | 2, 4 to12 months ago | 1, One or more years ago | 0, Never",,,,,,,,,,problems,,
probs_seethings,resources_and_risk,,radio,"R2f.  ...seeing or hearing things that no one else could see or hear or feeling that someone else could read or control your thoughts?","4, The past month | 3, 2 to 3 months ago | 2, 4 to12 months ago | 1, One or more years ago | 0, Never",,,,,,,,,,problems,,
behavior_lied,resources_and_risk,"(OPTIONAL)

R3. When was the last time that you did the following things two or more times?",radio,"R3a.  Lied or conned to get things you wanted or to avoid having to do","4, The past month | 3, 2 to 3 months ago | 2, 4 to 12 months ago | 1, 1 or more years ago | 0, Never",,,,,,,,,,behavior,,
behavior_attention,resources_and_risk,,radio,"R3b.  Had a hard time paying attention at school, work or home.","4, The past month | 3, 2 to 3 months ago | 2, 4 to 12 months ago | 1, 1 or more years ago | 0, Never",,,,,,,,,,behavior,,
behavior_listening,resources_and_risk,,radio,"R3c.  Had a hard time listening to instructions at school, work or home","4, The past month | 3, 2 to 3 months ago | 2, 4 to 12 months ago | 1, 1 or more years ago | 0, Never",,,,,,,,,,behavior,,
behavior_waiting,resources_and_risk,,radio,"R3d.  Had a hard time waiting for your turn","4, The past month | 3, 2 to 3 months ago | 2, 4 to 12 months ago | 1, 1 or more years ago | 0, Never",,,,,,,,,,behavior,,
behavior_bully,resources_and_risk,,radio,"R3e.  Were a bully or threatened other people","4, The past month | 3, 2 to 3 months ago | 2, 4 to 12 months ago | 1, 1 or more years ago | 0, Never",,,,,,,,,,behavior,,
behavior_fights,resources_and_risk,,radio,"R3f.  Started physical fights with other people","4, The past month | 3, 2 to 3 months ago | 2, 4 to 12 months ago | 1, 1 or more years ago | 0, Never",,,,,,,,,,behavior,,
behavior_gambling,resources_and_risk,,radio,"R3g.  Tried to win back your gambling losses by going back another day","4, The past month | 3, 2 to 3 months ago | 2, 4 to 12 months ago | 1, 1 or more years ago | 0, Never",,,,,,,,,,behavior,,
condition_dx,resources_and_risk,,checkbox,"R4.  Have you ever been diagnosed by a medical professional with any of the following medical conditions?  (Select all that apply.)

(OPTIONAL)
","1, Major depression | 2, Severe anxiety disorder | 3, Bipolar disorder | 4, Post-traumatic stress disorder (aka PTSD), | 5, Schizophrenia, | 6, Borderline personality disorder",,,,,,,,,,,,
propr_header,resources_and_risk,,descriptive,"<div class=""blue"">Health-Related Quality of Life (PROPr)

Health-related quality of life (HRQoL) is recommended as a core measure of recovery by the National Academy of Sciences, and is highly prioritized by individuals with lived experience of SUD.  Of particular importance is a comprehensive HRQoL measure that extends beyond basic physical health.  The PROPr is comprised of PROMIS measures, which were developed through a major NIH initiative to provide standardized assessments of functioning over eight essential domains (anxiety, cognitive functioning, depression, fatigue, sleep, pain, physical functioning, social functioning).  The PROPr also produces a preference-based composite score used to calculate quality-adjusted life-years (QALYs) -- the gold standard for cost-effectiveness analysis (CEA), and a core metric recommended by NIH to harmonize with existing HEAL- and NIDA-funded studies.",,,,,,,,,,,,,
propr_vigorous,resources_and_risk,"Quality of life is an important part of recovery.  This section asks about eight key areas of well-being, including mood, thinking, sleep, pain, physical functioning, and social functioning, to provide a more complete picture of your health.",radio,"R5a.  In the past 7 days, has your health limited you in doing vigorous activities, such as running, lifting heavy objects, or participating in strenuous sports?

[Additional clarification to interviewer: If they haven't had the opportunity to engage in vigorous activities, ask ""Could you if you tried?""]","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 6, Unable to do due to disability",,,,,,,,,,,,
propr_worries,resources_and_risk,,radio,"R5b.  In the past 7 days, my worries overwhelmed me.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
propr_hopeless,resources_and_risk,,radio,"R5c.  In the past 7 days, I felt hopeless.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
propr_tired,resources_and_risk,,radio,"R5d.  In the past 7 days, I felt (tired) or fatigued.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
propr_sleep,resources_and_risk,,radio,"R5e.  In the past 7 days, my sleep quality was:","1, Very poor | 2, Poor | 3, Fair | 4, Good | 5, Very good",,,,,,,,,,,,
propr_friends,resources_and_risk,,radio,"R5f.  In the past 7 days, I had trouble doing all of the activities with friends that I wanted to do.","1, Never | 2, Rarely | 3, Sometimes | 4, Usually | 5, Always",,,,,,,,,,,,
propr_concentrate,resources_and_risk,,radio,"R5g.  In the past 7 days, I have been able to concentrate.","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,,,,,,,
propr_pain,resources_and_risk,,radio,"R5h.  In the past 7 days, how much did pain interfere with your day to day activities?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,,,,,,,
pain_pastweek,resources_and_risk,PAIN,slider,"R6a.  What number best describes your pain on average in the past week?","0  No pain |  | 10  Pain as bad as you can imagine",,number,,10,,,,RH,,,,
pain_enjoyment,resources_and_risk,,slider,"R6b.  What number best describes how, during the past week, pain has interfered with your enjoyment of life? ","0  Does not interfere |  | 10  Completely interferes",,number,,10,,,,RH,,,,
pain_activity,resources_and_risk,,slider,"R6c.  What number best describes how, during the past week, pain has interfered with your general activity?","0  Does not interfere |  | 10  Completely interferes",,number,,10,,,,RH,,,,
needs_genmed,resources_and_risk,"PARTICIPANT NEEDS ASSESSMENT:  MEDICAL/HEALTH NEEDS

For studies conducted with individuals who are detained, each hub may determine whether to assess (1) need prior to detainment, (2) current need while detained, or (3) anticipated need upon re-entry.  Different stems and response options are provided for each situation.

Introduction: ""We are going to ask about different health and social needs. The purpose of these questions is to better understand people's experiences. This study does not automatically provide a connection or referral to services based on your answers.""

Additional stem depending on which of the three options selected above
1.	""For each service, please let us know whether you needed it at the time you entered jail/prison.""
2.	""For each service, please let us know whether you need it now, during your time in jail/prison.""
3.	""For each service, please let us know whether you will need it after your release, when you return to the community.""

(OPTIONAL)",radio,"R7.  Do you need general medical care (primary care or specialty care)?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_vision,resources_and_risk,,radio,"R8.  Do you need vision care?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_dental,resources_and_risk,,radio,"R9.  Do you need dental care?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_insurance,resources_and_risk,,radio,"R10.  Do you need help getting or maintaining health insurance coverage?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_hepc,resources_and_risk,,radio,"R11.  Do you need Hepatitis C testing or treatment?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_hivcare,resources_and_risk,,radio,"R12.  Do you need HIV care or antiretroviral therapy (ART)?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_mhealth,resources_and_risk,,radio,"R13.  Do you need mental health care or counseling services?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_narcan,resources_and_risk,,radio,"R14.  Do you need naloxone or support for overdose prevention?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_moud,resources_and_risk,,radio,"R15.  Do you need treatment for opioid use disorder, including medications for opioid use disorder (MOUD)?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_stimulant,resources_and_risk,,radio,"R16.  Do you need treatment or services for stimulant use disorder?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_alcohol,resources_and_risk,,radio,"R17.  Do you need services for alcohol use disorder?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_othersubs,resources_and_risk,,radio,"R18.  Do you need treatment for the use of substances other than opioids, stimulants, or alcohol?  (If yes, specify below.)","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_syringe,resources_and_risk,,radio,"R19.  Do you need syringe services or overdose reduction supplies?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_prep,resources_and_risk,,radio,"R20.  Do you need pre-exposure prophylaxis (PrEP), a daily medication that helps prevent HIV?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_sti,resources_and_risk,,radio,"R21.  Do you need testing or treatment for sexually transmitted infections (STIs)?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_other,resources_and_risk,,radio,"R22.  Do you have any other medical or health needs not listed above?  (If yes, specify below.)","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_medical,,
needs_moud_med_yn,resources_and_risk,,radio,"R15a.  If you need treatment for opioid use disorder, including medications for opioid use disorder (MOUD), are you interested in a specific medication?","1, Yes | 0, No",,,,,,[needs_moud]='1',,,,,,
needs_moud_med_specify,resources_and_risk,,text,"R15aspecify.  Specify the medication(s) you are interested in.",,,,,,,[needs_moud_med_yn]='1',,,,,,
needs_othersubs_specify,resources_and_risk,,text,"R18a.  Which substances do you need treatment for?",,,,,,,[needs_othersubs]='1',,RH,,,,
needs_other_specify,resources_and_risk,,text,"R22a.  Describe other medical or health needs not listed above.",,,,,,,[needs_other]='1',,RH,,,,
needs_id,resources_and_risk,"PARTICIPANT NEEDS ASSESSMENT:  SOCIAL/SOCIO-ECONOMIC NEEDS

(OPTIONAL)",radio,"R23.  Do you need help obtaining identification or documentation (such as an ID or birth certificate)?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_socioeconomic,,
needs_childcare,resources_and_risk,,radio,"R24.  Do you need childcare support?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_socioeconomic,,
needs_communication,resources_and_risk,,radio,"R25.  Do you need help with communication access (such as a phone or phone service)?","1, Yes | 0, No | 2, Unsure",,,,,,,,,,needs_socioeconomic,,
